sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,2553add0eb44,docker-auth-1,2.97,11.59,908.2MiB / 7.653GiB,952316723,8217346179,101MB / 67.3MB,0B / 33MB,126
0,1776951183685,2026-04-23T13:33:03.685774+00:00,9f919b0315c7,docker-registry-1,1.51,5.32,417.3MiB / 7.653GiB,437570764,8217346179,31.9MB / 21MB,0B / 18.1MB,56
0,1776951183685,2026-04-23T13:33:03.685774+00:00,047bb8dbb031,docker-recommender-1,5.31,7.46,584.8MiB / 7.653GiB,613207244,8217346179,8.37MB / 9.29MB,0B / 33MB,136
0,1776951183685,2026-04-23T13:33:03.685774+00:00,9caace330afe,docker-persistence-1,7.19,11.96,937.6MiB / 7.653GiB,983144857,8217346179,113MB / 97.8MB,0B / 43.7MB,65
0,1776951183685,2026-04-23T13:33:03.685774+00:00,24025f462381,docker-webui-1,13.33,23.16,1.773GiB / 7.653GiB,1903744253,8217346179,1.05GB / 1.41GB,0B / 39.8MB,232
0,1776951183685,2026-04-23T13:33:03.685774+00:00,eaf29550fd31,docker-image-1,3.88,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.2MB / 834MB,0B / 69.6MB,151
0,1776951183685,2026-04-23T13:33:03.685774+00:00,b3ec606673dd,docker-db-1,0.14,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.4MB / 50.9MB,10.6MB / 145MB,37
1,1776951190777,2026-04-23T13:33:10.777611+00:00,2553add0eb44,docker-auth-1,4.91,11.63,911.3MiB / 7.653GiB,955567308,8217346179,101MB / 67.4MB,0B / 33MB,126
1,1776951190777,2026-04-23T13:33:10.777611+00:00,9f919b0315c7,docker-registry-1,0.95,5.32,417.3MiB / 7.653GiB,437570764,8217346179,31.9MB / 21MB,0B / 18.1MB,56
1,1776951190777,2026-04-23T13:33:10.777611+00:00,047bb8dbb031,docker-recommender-1,3.57,7.39,578.8MiB / 7.653GiB,606915788,8217346179,8.39MB / 9.31MB,0B / 33MB,136
1,1776951190777,2026-04-23T13:33:10.777611+00:00,9caace330afe,docker-persistence-1,14.82,11.96,937.6MiB / 7.653GiB,983144857,8217346179,114MB / 98MB,0B / 43.7MB,65
1,1776951190777,2026-04-23T13:33:10.777611+00:00,24025f462381,docker-webui-1,16.72,23.17,1.774GiB / 7.653GiB,1904817995,8217346179,1.05GB / 1.41GB,0B / 39.8MB,232
1,1776951190777,2026-04-23T13:33:10.777611+00:00,eaf29550fd31,docker-image-1,6.97,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.3MB / 837MB,0B / 69.6MB,151
