sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,b3ec606673dd,docker-db-1,0.14,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.4MB / 50.9MB,10.6MB / 145MB,37
1,1776951190777,2026-04-23T13:33:10.777611+00:00,b3ec606673dd,docker-db-1,0.16,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.4MB / 51MB,10.6MB / 145MB,37
2,1776951197835,2026-04-23T13:33:17.835783+00:00,b3ec606673dd,docker-db-1,0.31,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.4MB / 51.1MB,10.6MB / 145MB,37
3,1776951204900,2026-04-23T13:33:24.900434+00:00,b3ec606673dd,docker-db-1,0.22,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.5MB / 51.1MB,10.6MB / 145MB,37
4,1776951211951,2026-04-23T13:33:31.951601+00:00,b3ec606673dd,docker-db-1,0.10,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.5MB / 51.2MB,10.6MB / 145MB,37
5,1776951219018,2026-04-23T13:33:39.018508+00:00,b3ec606673dd,docker-db-1,0.26,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.5MB / 51.3MB,10.6MB / 145MB,37
6,1776951226081,2026-04-23T13:33:46.081076+00:00,b3ec606673dd,docker-db-1,0.30,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.6MB / 51.5MB,10.6MB / 145MB,37
7,1776951233138,2026-04-23T13:33:53.138387+00:00,b3ec606673dd,docker-db-1,0.40,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.6MB / 51.6MB,10.6MB / 145MB,37
8,1776951240194,2026-04-23T13:34:00.194673+00:00,b3ec606673dd,docker-db-1,0.23,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.6MB / 51.7MB,10.6MB / 145MB,37
9,1776951247234,2026-04-23T13:34:07.234529+00:00,b3ec606673dd,docker-db-1,0.29,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.7MB / 51.9MB,10.6MB / 145MB,37
10,1776951254278,2026-04-23T13:34:14.278810+00:00,b3ec606673dd,docker-db-1,0.22,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.7MB / 52MB,10.6MB / 145MB,37
11,1776951261340,2026-04-23T13:34:21.340381+00:00,b3ec606673dd,docker-db-1,0.39,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.7MB / 52.2MB,10.6MB / 145MB,37
12,1776951268388,2026-04-23T13:34:28.388811+00:00,b3ec606673dd,docker-db-1,0.17,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.8MB / 52.2MB,10.6MB / 145MB,37
13,1776951275453,2026-04-23T13:34:35.453552+00:00,b3ec606673dd,docker-db-1,0.23,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.8MB / 52.3MB,10.6MB / 145MB,37
14,1776951282516,2026-04-23T13:34:42.516055+00:00,b3ec606673dd,docker-db-1,0.28,1.44,112.8MiB / 7.653GiB,118279372,8217346179,17.8MB / 52.4MB,10.6MB / 145MB,37
